time_ns,din,dout_low,dout_high
3326,9817,10569,2408
3336,3681,4764,2392
3346,-2513,3851,-2628
3356,1253,7844,-2640
3366,4999,6747,2356
3376,-1253,578,2349
3386,-7486,-635,-2662
3396,-3681,3128,-2664
3406,182,1876,2341
3416,-5877,-4371,2344
3426,-11845,-5584,-2657
3436,-7705,-1743,-2649
3446,-3443,-2840,2365
3456,-9048,-8859,2378
3466,-14510,-9771,-2614
3476,-9822,-5564,-2599
3486,-4980,-6235,2425
3496,-9980,-11774,2443
3506,-14822,-12160,-2544
3516,-9510,-7389,-2523
3526,-4048,-7468,2503
3536,-8443,-12395,2522
3546,-12705,-12160,-2463
3556,-6845,-6768,-2444
3566,-877,-6235,2580
3576,-4817,-10570,2598
3586,-8681,-9772,-2393
3596,-2486,-3852,-2379
3606,3746,-2839,2639
3616,0,-6748,2649
3626,-3746,-5584,-2350
3636,2486,634,-2344
3646,8681,1876,2663
3656,4817,-1877,2663
3666,877,-635,-2344
3676,6845,5583,-2350
3686,12705,6747,2649
3696,8443,2838,2639
3706,4048,3851,-2379
3716,9510,9771,-2393
3726,14822,10569,2598
3736,9980,6234,2580
3746,4980,6767,-2444
3756,9822,12159,-2463
3766,14510,12394,2522
3776,9048,7467,2503
3786,3443,7388,-2523
3796,7705,12159,-2544
3806,11845,11773,2443
3816,5877,6234,2425
3826,-182,5563,-2599
3836,3681,9770,-2614
3846,7486,8858,2378
3856,1253,2839,2365
3866,-5000,1742,-2649
3876,-1253,5583,-2657
3886,2513,4370,2344
3896,-3681,-1878,2341
3906,-9817,-3129,-2665
3916,-5877,634,-2662
3926,-1845,-578,2349
3936,-7705,-6748,2356
3946,-13443,-7845,-2640
3956,-9048,-3852,-2628
3966,-4510,-4765,2392
3976,-9822,-10570,2408
3986,-14980,-11241,-2581
3996,-9980,-6768,-2563
4006,-4822,-7154,2462
4016,-9510,-12395,2483
4026,-14048,-12474,-2504
4036,-8443,-7389,-2484
4046,-2705,-7154,2543
4056,-6845,-11774,2562
4066,-10877,-11241,-2426
4076,-4817,-5564,-2409
4086,1318,-4765,2613
4096,-2486,-8858,2627
4106,-6253,-7846,-2367
4116,0,-1743,-2357
4126,6253,-578,2655
4136,2486,-4371,2661
4146,-1318,-3129,-2342
4156,4817,3128,-2342
4166,10877,4370,2661
4176,6845,577,2655
4186,2705,1742,-2357
4196,8443,7845,-2367
4206,14048,8857,2627
4216,9510,4764,2613
4226,4822,5563,-2409
4236,9980,11240,-2426
4246,14980,11773,2562
4256,9822,7153,2543
4266,4510,7388,-2484
4276,9048,12473,-2504
4286,13443,12394,2483
4296,7705,7153,2462
4306,1845,6767,-2563
4316,5877,11240,-2581
4326,9817,10569,2408
4336,3681,4764,2392
4346,-2513,3851,-2628
4356,1253,7844,-2640
4366,4999,6747,2356
4376,-1253,578,2349
4386,-7486,-635,-2662
4396,-3681,3128,-2664
4406,182,1876,2341
4416,-5877,-4371,2344
4426,-11845,-5584,-2657
4436,-7705,-1743,-2649
4446,-3443,-2840,2365
4456,-9048,-8859,2378
4466,-14510,-9771,-2614
4476,-9822,-5564,-2599
4486,-4980,-6235,2425
4496,-9980,-11774,2443
4506,-14822,-12160,-2544
4516,-9510,-7389,-2523
4526,-4048,-7468,2503
4536,-8443,-12395,2522
4546,-12705,-12160,-2463
4556,-6845,-6768,-2444
4566,-877,-6235,2580
4576,-4817,-10570,2598
4586,-8681,-9772,-2393
4596,-2486,-3852,-2379
4606,3746,-2839,2639
4616,0,-6748,2649
4626,-3746,-5584,-2350
4636,2486,634,-2344
4646,8681,1876,2663
4656,4817,-1877,2663
4666,877,-635,-2344
4676,6845,5583,-2350
4686,12705,6747,2649
4696,8443,2838,2639
4706,4048,3851,-2379
4716,9510,9771,-2393
4726,14822,10569,2598
4736,9980,6234,2580
4746,4980,6767,-2444
4756,9822,12159,-2463
4766,14510,12394,2522
4776,9048,7467,2503
4786,3443,7388,-2523
4796,7705,12159,-2544
4806,11845,11773,2443
4816,5877,6234,2425
4826,-182,5563,-2599
4836,3681,9770,-2614
4846,7486,8858,2378
4856,1253,2839,2365
4866,-5000,1742,-2649
4876,-1253,5583,-2657
4886,2513,4370,2344
4896,-3681,-1878,2341
4906,-9817,-3129,-2665
4916,-5877,634,-2662
4926,-1845,-578,2349
4936,-7705,-6748,2356
4946,-13443,-7845,-2640
4956,-9048,-3852,-2628
4966,-4510,-4765,2392
4976,-9822,-10570,2408
4986,-14980,-11241,-2581
4996,-9980,-6768,-2563
5006,-4822,-7154,2462
5016,-9510,-12395,2483
5026,-14048,-12474,-2504
5036,-8443,-7389,-2484
5046,-2705,-7154,2543
5056,-6845,-11774,2562
5066,-10877,-11241,-2426
5076,-4817,-5564,-2409
5086,1318,-4765,2613
5096,-2486,-8858,2627
5106,-6253,-7846,-2367
5116,0,-1743,-2357
5126,6253,-578,2655
5136,2486,-4371,2661
5146,-1318,-3129,-2342
5156,4817,3128,-2342
5166,10877,4370,2661
5176,6845,577,2655
5186,2705,1742,-2357
5196,8443,7845,-2367
5206,14048,8857,2627
5216,9510,4764,2613
5226,4822,5563,-2409
5236,9980,11240,-2426
5246,14980,11773,2562
5256,9822,7153,2543
5266,4510,7388,-2484
5276,9048,12473,-2504
5286,13443,12394,2483
5296,7705,7153,2462
5306,1845,6767,-2563
5316,5877,11240,-2581
5326,9817,10569,2408
5336,3681,4764,2392
5346,-2513,3851,-2628
5356,1253,7844,-2640
5366,4999,6747,2356
5376,-1253,578,2349
5386,-7486,-635,-2662
5396,-3681,3128,-2664
5406,182,1876,2341
5416,-5877,-4371,2344
5426,-11845,-5584,-2657
5436,-7705,-1743,-2649
5446,-3443,-2840,2365
5456,-9048,-8859,2378
5466,-14510,-9771,-2614
5476,-9822,-5564,-2599
5486,-4980,-6235,2425
5496,-9980,-11774,2443
5506,-14822,-12160,-2544
5516,-9510,-7389,-2523
5526,-4048,-7468,2503
5536,-8443,-12395,2522
5546,-12705,-12160,-2463
5556,-6845,-6768,-2444
5566,-877,-6235,2580
5576,-4817,-10570,2598
5586,-8681,-9772,-2393
5596,-2486,-3852,-2379
5606,3746,-2839,2639
5616,0,-6748,2649
5626,-3746,-5584,-2350
5636,2486,634,-2344
5646,8681,1876,2663
5656,4817,-1877,2663
5666,877,-635,-2344
5676,6845,5583,-2350
5686,12705,6747,2649
5696,8443,2838,2639
5706,4048,3851,-2379
5716,9510,9771,-2393
5726,14822,10569,2598
5736,9980,6234,2580
5746,4980,6767,-2444
5756,9822,12159,-2463
5766,14510,12394,2522
5776,9048,7467,2503
5786,3443,7388,-2523
5796,7705,12159,-2544
5806,11845,11773,2443
5816,5877,6234,2425
5826,-182,5563,-2599
5836,3681,9770,-2614
5846,7486,8858,2378
5856,1253,2839,2365
5866,-5000,1742,-2649
5876,-1253,5583,-2657
5886,2513,4370,2344
5896,-3681,-1878,2341
5906,-9817,-3129,-2665
5916,-5877,634,-2662
5926,-1845,-578,2349
5936,-7705,-6748,2356
5946,-13443,-7845,-2640
5956,-9048,-3852,-2628
5966,-4510,-4765,2392
5976,-9822,-10570,2408
5986,-14980,-11241,-2581
5996,-9980,-6768,-2563
6006,-4822,-7154,2462
6016,-9510,-12395,2483
6026,-14048,-12474,-2504
6036,-8443,-7389,-2484
6046,-2705,-7154,2543
6056,-6845,-11774,2562
6066,-10877,-11241,-2426
6076,-4817,-5564,-2409
6086,1318,-4765,2613
6096,-2486,-8858,2627
6106,-6253,-7846,-2367
6116,0,-1743,-2357
6126,6253,-578,2655
6136,2486,-4371,2661
6146,-1318,-3129,-2342
6156,4817,3128,-2342
6166,10877,4370,2661
6176,6845,577,2655
6186,2705,1742,-2357
6196,8443,7845,-2367
6206,14048,8857,2627
6216,9510,4764,2613
6226,4822,5563,-2409
6236,9980,11240,-2426
6246,14980,11773,2562
6256,9822,7153,2543
6266,4510,7388,-2484
6276,9048,12473,-2504
6286,13443,12394,2483
6296,7705,7153,2462
6306,1845,6767,-2563
6316,5877,11240,-2581
6326,9817,10569,2408
6336,3681,4764,2392
6346,-2513,3851,-2628
6356,1253,7844,-2640
6366,4999,6747,2356
6376,-1253,578,2349
6386,-7486,-635,-2662
6396,-3681,3128,-2664
6406,182,1876,2341
6416,-5877,-4371,2344
6426,-11845,-5584,-2657
6436,-7705,-1743,-2649
6446,-3443,-2840,2365
6456,-9048,-8859,2378
6466,-14510,-9771,-2614
6476,-9822,-5564,-2599
6486,-4980,-6235,2425
6496,-9980,-11774,2443
6506,-14822,-12160,-2544
6516,-9510,-7389,-2523
6526,-4048,-7468,2503
6536,-8443,-12395,2522
6546,-12705,-12160,-2463
6556,-6845,-6768,-2444
6566,-877,-6235,2580
6576,-4817,-10570,2598
6586,-8681,-9772,-2393
6596,-2486,-3852,-2379
6606,3746,-2839,2639
6616,0,-6748,2649
6626,-3746,-5584,-2350
6636,2486,634,-2344
6646,8681,1876,2663
6656,4817,-1877,2663
6666,877,-635,-2344
6676,6845,5583,-2350
6686,12705,6747,2649
6696,8443,2838,2639
6706,4048,3851,-2379
6716,9510,9771,-2393
6726,14822,10569,2598
6736,9980,6234,2580
6746,4980,6767,-2444
6756,9822,12159,-2463
6766,14510,12394,2522
6776,9048,7467,2503
6786,3443,7388,-2523
6796,7705,12159,-2544
6806,11845,11773,2443
6816,5877,6234,2425
6826,-182,5563,-2599
6836,3681,9770,-2614
6846,7486,8858,2378
6856,1253,2839,2365
6866,-5000,1742,-2649
6876,-1253,5583,-2657
6886,2513,4370,2344
6896,-3681,-1878,2341
6906,-9817,-3129,-2665
6916,-5877,634,-2662
6926,-1845,-578,2349
6936,-7705,-6748,2356
6946,-13443,-7845,-2640
6956,-9048,-3852,-2628
6966,-4510,-4765,2392
6976,-9822,-10570,2408
6986,-14980,-11241,-2581
6996,-9980,-6768,-2563
7006,-4822,-7154,2462
7016,-9510,-12395,2483
7026,-14048,-12474,-2504
7036,-8443,-7389,-2484
7046,-2705,-7154,2543
7056,-6845,-11774,2562
7066,-10877,-11241,-2426
7076,-4817,-5564,-2409
7086,1318,-4765,2613
7096,-2486,-8858,2627
7106,-6253,-7846,-2367
7116,0,-1743,-2357
7126,6253,-578,2655
7136,2486,-4371,2661
7146,-1318,-3129,-2342
7156,4817,3128,-2342
7166,10877,4370,2661
7176,6845,577,2655
7186,2705,1742,-2357
7196,8443,7845,-2367
7206,14048,8857,2627
7216,9510,4764,2613
7226,4822,5563,-2409
7236,9980,11240,-2426
7246,14980,11773,2562
7256,9822,7153,2543
7266,4510,7388,-2484
7276,9048,12473,-2504
7286,13443,12394,2483
7296,7705,7153,2462
7306,1845,6767,-2563
7316,5877,11240,-2581
7326,9817,10569,2408
7336,3681,4764,2392
7346,-2513,3851,-2628
7356,1253,7844,-2640
7366,4999,6747,2356
7376,-1253,578,2349
7386,-7486,-635,-2662
7396,-3681,3128,-2664
7406,182,1876,2341
7416,-5877,-4371,2344
7426,-11845,-5584,-2657
7436,-7705,-1743,-2649
7446,-3443,-2840,2365
7456,-9048,-8859,2378
7466,-14510,-9771,-2614
7476,-9822,-5564,-2599
7486,-4980,-6235,2425
7496,-9980,-11774,2443
7506,-14822,-12160,-2544
7516,-9510,-7389,-2523
7526,-4048,-7468,2503
7536,-8443,-12395,2522
7546,-12705,-12160,-2463
7556,-6845,-6768,-2444
7566,-877,-6235,2580
7576,-4817,-10570,2598
7586,-8681,-9772,-2393
7596,-2486,-3852,-2379
7606,3746,-2839,2639
7616,0,-6748,2649
7626,-3746,-5584,-2350
7636,2486,634,-2344
7646,8681,1876,2663
7656,4817,-1877,2663
7666,877,-635,-2344
7676,6845,5583,-2350
7686,12705,6747,2649
7696,8443,2838,2639
7706,4048,3851,-2379
7716,9510,9771,-2393
7726,14822,10569,2598
7736,9980,6234,2580
7746,4980,6767,-2444
7756,9822,12159,-2463
7766,14510,12394,2522
7776,9048,7467,2503
7786,3443,7388,-2523
7796,7705,12159,-2544
7806,11845,11773,2443
7816,5877,6234,2425
7826,-182,5563,-2599
7836,3681,9770,-2614
7846,7486,8858,2378
7856,1253,2839,2365
7866,-5000,1742,-2649
7876,-1253,5583,-2657
7886,2513,4370,2344
7896,-3681,-1878,2341
7906,-9817,-3129,-2665
7916,-5877,634,-2662
7926,-1845,-578,2349
7936,-7705,-6748,2356
7946,-13443,-7845,-2640
7956,-9048,-3852,-2628
7966,-4510,-4765,2392
7976,-9822,-10570,2408
7986,-14980,-11241,-2581
7996,-9980,-6768,-2563
8006,-4822,-7154,2462
8016,-9510,-12395,2483
8026,-14048,-12474,-2504
8036,-8443,-7389,-2484
8046,-2705,-7154,2543
8056,-6845,-11774,2562
8066,-10877,-11241,-2426
8076,-4817,-5564,-2409
8086,1318,-4765,2613
8096,-2486,-8858,2627
8106,-6253,-7846,-2367
8116,0,-1743,-2357
8126,6253,-578,2655
8136,2486,-4371,2661
8146,-1318,-3129,-2342
8156,4817,3128,-2342
8166,10877,4370,2661
8176,6845,577,2655
8186,2705,1742,-2357
8196,8443,7845,-2367
8206,14048,8857,2627
8216,9510,4764,2613
8226,4822,5563,-2409
8236,9980,11240,-2426
8246,14980,11773,2562
8256,9822,7153,2543
8266,4510,7388,-2484
8276,9048,12473,-2504
8286,13443,12394,2483
8296,7705,7153,2462
8306,1845,6767,-2563
8316,5877,11240,-2581
8326,9817,10569,2408
8336,3681,4764,2392
8346,-2513,3851,-2628
8356,1253,7844,-2640
8366,4999,6747,2356
8376,-1253,578,2349
8386,-7486,-635,-2662
8396,-3681,3128,-2664
8406,182,1876,2341
8416,-5877,-4371,2344
8426,-11845,-5584,-2657
8436,-7705,-1743,-2649
8446,-3443,-2840,2365
8456,-9048,-8859,2378
8466,-14510,-9771,-2614
8476,-9822,-5564,-2599
8486,-4980,-6235,2425
8496,-9980,-11774,2443
8506,-14822,-12160,-2544
8516,-9510,-7389,-2523
8526,-4048,-7468,2503
8536,-8443,-12395,2522
8546,-12705,-12160,-2463
8556,-6845,-6768,-2444
8566,-877,-6235,2580
8576,-4817,-10570,2598
8586,-8681,-9772,-2393
8596,-2486,-3852,-2379
8606,3746,-2839,2639
8616,0,-6748,2649
8626,-3746,-5584,-2350
8636,2486,634,-2344
8646,8681,1876,2663
8656,4817,-1877,2663
8666,877,-635,-2344
8676,6845,5583,-2350
8686,12705,6747,2649
8696,8443,2838,2639
8706,4048,3851,-2379
8716,9510,9771,-2393
8726,14822,10569,2598
8736,9980,6234,2580
8746,4980,6767,-2444
8756,9822,12159,-2463
8766,14510,12394,2522
8776,9048,7467,2503
8786,3443,7388,-2523
8796,7705,12159,-2544
8806,11845,11773,2443
8816,5877,6234,2425
8826,-182,5563,-2599
8836,3681,9770,-2614
8846,7486,8858,2378
8856,1253,2839,2365
8866,-5000,1742,-2649
8876,-1253,5583,-2657
8886,2513,4370,2344
8896,-3681,-1878,2341
8906,-9817,-3129,-2665
8916,-5877,634,-2662
8926,-1845,-578,2349
8936,-7705,-6748,2356
8946,-13443,-7845,-2640
8956,-9048,-3852,-2628
8966,-4510,-4765,2392
8976,-9822,-10570,2408
8986,-14980,-11241,-2581
8996,-9980,-6768,-2563
9006,-4822,-7154,2462
9016,-9510,-12395,2483
9026,-14048,-12474,-2504
9036,-8443,-7389,-2484
9046,-2705,-7154,2543
9056,-6845,-11774,2562
9066,-10877,-11241,-2426
9076,-4817,-5564,-2409
9086,1318,-4765,2613
9096,-2486,-8858,2627
9106,-6253,-7846,-2367
9116,0,-1743,-2357
9126,6253,-578,2655
9136,2486,-4371,2661
9146,-1318,-3129,-2342
9156,4817,3128,-2342
9166,10877,4370,2661
9176,6845,577,2655
9186,2705,1742,-2357
9196,8443,7845,-2367
9206,14048,8857,2627
9216,9510,4764,2613
9226,4822,5563,-2409
9236,9980,11240,-2426
9246,14980,11773,2562
9256,9822,7153,2543
9266,4510,7388,-2484
9276,9048,12473,-2504
9286,13443,12394,2483
9296,7705,7153,2462
9306,1845,6767,-2563
9316,5877,11240,-2581
9326,9817,10569,2408
9336,3681,4764,2392
9346,-2513,3851,-2628
9356,1253,7844,-2640
9366,4999,6747,2356
9376,-1253,578,2349
9386,-7486,-635,-2662
9396,-3681,3128,-2664
9406,182,1876,2341
9416,-5877,-4371,2344
9426,-11845,-5584,-2657
9436,-7705,-1743,-2649
9446,-3443,-2840,2365
9456,-9048,-8859,2378
9466,-14510,-9771,-2614
9476,-9822,-5564,-2599
9486,-4980,-6235,2425
9496,-9980,-11774,2443
9506,-14822,-12160,-2544
9516,-9510,-7389,-2523
9526,-4048,-7468,2503
9536,-8443,-12395,2522
9546,-12705,-12160,-2463
9556,-6845,-6768,-2444
9566,-877,-6235,2580
9576,-4817,-10570,2598
9586,-8681,-9772,-2393
9596,-2486,-3852,-2379
9606,3746,-2839,2639
9616,0,-6748,2649
9626,-3746,-5584,-2350
9636,2486,634,-2344
9646,8681,1876,2663
9656,4817,-1877,2663
9666,877,-635,-2344
9676,6845,5583,-2350
9686,12705,6747,2649
9696,8443,2838,2639
9706,4048,3851,-2379
9716,9510,9771,-2393
9726,14822,10569,2598
9736,9980,6234,2580
9746,4980,6767,-2444
9756,9822,12159,-2463
9766,14510,12394,2522
9776,9048,7467,2503
9786,3443,7388,-2523
9796,7705,12159,-2544
9806,11845,11773,2443
9816,5877,6234,2425
9826,-182,5563,-2599
9836,3681,9770,-2614
9846,7486,8858,2378
9856,1253,2839,2365
9866,-5000,1742,-2649
9876,-1253,5583,-2657
9886,2513,4370,2344
9896,-3681,-1878,2341
9906,-9817,-3129,-2665
9916,-5877,634,-2662
9926,-1845,-578,2349
9936,-7705,-6748,2356
9946,-13443,-7845,-2640
9956,-9048,-3852,-2628
9966,-4510,-4765,2392
9976,-9822,-10570,2408
9986,-14980,-11241,-2581
9996,-9980,-6768,-2563
10006,-4822,-7154,2462
10016,-9510,-12395,2483
10026,-14048,-12474,-2504
10036,-8443,-7389,-2484
10046,-2705,-7154,2543
10056,-6845,-11774,2562
10066,-10877,-11241,-2426
10076,-4817,-5564,-2409
10086,1318,-4765,2613
10096,-2486,-8858,2627
10106,-6253,-7846,-2367
10116,0,-1743,-2357
